delta_power_ch0,delta_power_ch1,delta_power_ch2,delta_power_mean,delta_power_std,theta_power_ch0,theta_power_ch1,theta_power_ch2,theta_power_mean,theta_power_std,mu_power_ch0,mu_power_ch1,mu_power_ch2,mu_power_mean,mu_power_std,alpha_power_ch0,alpha_power_ch1,alpha_power_ch2,alpha_power_mean,alpha_power_std,beta_power_ch0,beta_power_ch1,beta_power_ch2,beta_power_mean,beta_power_std,gamma_power_ch0,gamma_power_ch1,gamma_power_ch2,gamma_power_mean,gamma_power_std,total_power_ch0,total_power_ch1,total_power_ch2,total_power_mean,mu_beta_ratio,beta_gamma_ratio,mu_alpha_ratio,alpha_beta_ratio,mean_ch0,std_ch0,var_ch0,skewness_ch0,kurtosis_ch0,zcr_ch0,energy_ch0,mean_ch1,std_ch1,var_ch1,skewness_ch1,kurtosis_ch1,zcr_ch1,energy_ch1,mean_ch2,std_ch2,var_ch2,skewness_ch2,kurtosis_ch2,zcr_ch2,energy_ch2,mean_all,std_all,max_amplitude,min_amplitude,hjorth_activity_ch0,hjorth_mobility_ch0,hjorth_complexity_ch0,hjorth_activity_ch1,hjorth_mobility_ch1,hjorth_complexity_ch1,hjorth_activity_ch2,hjorth_mobility_ch2,hjorth_complexity_ch2,hjorth_activity_mean,hjorth_mobility_mean,hjorth_complexity_mean,mean_correlation,std_correlation,max_correlation,min_correlation,power_range,power_std,dominant_channel,filename,subject,method,direction,pattern,iteration,label,erd_score,quality_score
7.645920309594609e-09,7.77838901091144e-09,4.830313755221472e-09,6.751541025242507e-09,1.3595888242434431e-09,4.399008228458789e-09,4.340376427870558e-09,1.984603535865982e-09,3.5746627307317766e-09,1.1245964029799011e-09,2.1203935214463146e-10,2.038527656256338e-10,3.0547776570994625e-10,2.4045662782673715e-10,4.609820190584967e-11,2.765401897638575e-10,2.6560063879421975e-10,3.508823337368382e-10,2.976743874316385e-10,3.788783979385373e-11,1.436143291281921e-10,1.4586144197902797e-10,1.3862903727852833e-10,1.4270160279524947e-10,3.0223303875307312e-12,5.890823454565913e-12,6.158305226619197e-12,7.85937034393579e-12,6.636166341706966e-12,8.718018306536752e-13,1.247097388040001e-08,1.2536385824781857e-08,7.31228803244676e-09,1.0773215912542876e-08,0.9932209608215805,1.3385080629219779,0.5994065503579107,1.2286169158098834,8.233896276516979e-06,0.00016966621304705207,2.8786623849727664e-08,0.09825735664182683,-0.7515328952035678,0.016,2.1640815673215077e-05,8.216090501040966e-06,0.00017012984874145487,2.8944165432790314e-08,0.0899989367644802,-0.7975219908532782,0.016,2.1758752181933706e-05,1.2872944222066337e-05,0.0001660678903126219,2.7578544192885018e-08,-0.1865052158804775,0.00947411228096895,0.016,2.080819266437209e-05,9.774310333208096e-06,0.00016864532401057118,0.0005287113222086528,-0.0005287113222086528,2.8786623849727664e-08,0.08171655994974893,5.206492814025918,2.8944165432790314e-08,0.08115482505337401,5.262105677042006,2.7578544192885018e-08,0.07060029537270837,5.393156379209559,2.8436444491800997e-08,0.07782389345861043,5.287251623425827,0.6993622018101564,0.2123098218931243,0.9996085495122815,0.5477261740050715,1.365621239905296e-09,6.100270648414261e-10,1,kshama_move_LR_lower_1.edf,kshama,move,LR,lower,1,1,-151.7935942133219,0.0
1.4785854654179441e-08,1.4649150015290208e-08,1.1793889281034725e-08,1.3742964650168125e-08,1.3793339299568548e-09,2.8891571590799776e-09,3.017891284761117e-09,1.1925673484780629e-09,2.366538597439719e-09,8.317850238373556e-10,2.906897399147118e-10,2.9963117369100616e-10,7.722595367909623e-11,2.2251562242827138e-10,1.0280014005641483e-10,3.277621917985224e-10,3.347394434309965e-10,9.206468770285105e-11,2.5152210764412335e-10,1.1278939693319629e-10,1.1428362376775027e-10,1.1905925200392294e-10,5.69454040153646e-11,9.676275992901261e-11,2.82225445371618e-11,3.5763692579099853e-12,3.896362357968649e-12,3.763934744536325e-12,3.7455554534716534e-12,1.3128149089220054e-13,1.8120633998083617e-08,1.8124736357844216e-08,1.3139230655975537e-08,1.6461533670634457e-08,1.0721434414175506,0.9327051871237959,0.5902874609153995,1.2147507558306874,-7.035202633949055e-06,0.00017180880357804164,2.9518264986918094e-08,-0.31488384747969056,-0.9354284404323199,0.02,2.2175819297264116e-05,-7.605616893397925e-06,0.00017231370564702213,2.9692013153808587e-08,-0.2991779131050219,-0.9327799487216946,0.028,2.231239392160329e-05,-8.981938370046802e-06,0.0001493172717352003,2.229564763844365e-08,-0.21084805072059104,-0.8000781856917616,0.02,1.6782242141495226e-05,-7.874252632464598e-06,0.00016483115494036503,0.0003559905769504526,-0.0003559905769504526,2.9518264986918094e-08,0.06876578528569491,3.565647052921798,2.9692013153808587e-08,0.06929556497030721,3.5801329125732777,2.229564763844365e-08,0.05472427438655277,3.63540963733824,2.716864192639011e-08,0.06426187488085164,3.593729867611105,0.970224846185618,0.02020950177676195,0.9987275086637591,0.9541474216191702,7.396365515364937e-09,3.446457321573713e-09,1,kshama_move_LR_lower_2.edf,kshama,move,LR,lower,2,1,15.635219370499989,0.0
2.7412320738049795e-09,2.538958837648404e-09,2.5109526069637336e-09,2.5970478394723726e-09,1.0259274604587749e-10,4.723583291445259e-10,4.862013205969165e-10,3.882155294271586e-10,4.48925059722867e-10,4.329851733128894e-11,1.525326265424567e-10,1.5186343928268037e-10,1.8016684711813525e-10,1.6152097098109078e-10,1.3187455543954523e-11,1.851754330619287e-10,1.8647168631816285e-10,2.0051295600231173e-10,1.9072002512746775e-10,6.944839305348901e-12,5.882278894647025e-11,5.455730798144014e-11,3.4395869735985526e-11,4.9258655554631967e-11,1.0652867647851976e-11,3.3606332678334545e-12,2.1469342621637318e-12,3.9684964951262105e-12,3.1586880083744656e-12,7.572356119475108e-13,3.46094925822574e-09,3.2683360868070866e-09,3.1380454586243163e-09,3.289110267885714e-09,1.0945112814333886,0.4780127819746569,0.5548402505528663,1.2881238390822616,-1.1409955158439698e-05,0.00012652252323590472,1.6007948885980052e-08,-0.8686623557628257,2.9299308516271134,0.016,1.2103601972023243e-05,-1.1399619129791931e-05,0.00012629398742912456,1.595017126074787e-08,-0.8883673836239291,3.045207682427547,0.016,1.206009193278914e-05,-9.047475697319482e-06,0.0001219643182954892,1.4875294937283401e-08,-0.4469700204842841,2.119485470646408,0.016,1.1217863815332741e-05,-1.0619016661850364e-05,0.00012494948279062338,0.000580424258543888,-0.000580424258543888,1.6007948885980052e-08,0.08992894286511019,3.1634932167631447,1.595017126074787e-08,0.08997507976061477,3.0862360739184678,1.4875294937283401e-08,0.0953850635042553,4.158736668109622,1.5611138361337106e-08,0.09176302870999342,3.4694886529304116,0.8635394931110687,0.09612425300780657,0.9994767880568965,0.794798248348836,1.1326539486966502e-09,5.208542483502008e-10,0,kshama_move_LR_lower_3.edf,kshama,move,LR,lower,3,1,85.69754515390866,0.0
6.5045246414082404e-09,6.140345631333644e-09,4.559381700371156e-09,5.734750657704347e-09,8.443047345761729e-10,6.469924060054439e-09,6.193269181680565e-09,1.96999006314389e-09,4.877727768292965e-09,2.0591808082975167e-09,1.7948205076162517e-10,1.9651213450699076e-10,1.3914842436708598e-10,1.7171420321190064e-10,2.4054152821229225e-11,1.9676808563793563e-10,2.16648635571907e-10,1.5652143817084594e-10,1.899793864602295e-10,2.5011794474082045e-11,9.646166522714229e-11,1.0678396457871393e-10,9.220094186645769e-11,9.848219055743797e-11,6.122528334727964e-12,5.2947824079487436e-12,4.56858040081341e-12,3.9240672190049995e-12,4.595810009255718e-12,5.599232810437588e-13,1.3272973234735702e-08,1.2661615993565643e-08,6.782018210771353e-09,1.0905535813024231e-08,0.862624121197173,0.9414972714351961,0.5892775138817252,0.9545428107223612,1.3178325530885058e-06,0.0001696620592572765,2.87852143514196e-08,0.9007921999044768,0.6275437892344247,0.028,2.1590213275543183e-05,7.662453962968921e-07,0.00016857814037645136,2.8418589412782537e-08,0.9362822627965681,0.7448233440646534,0.028,2.1314382408592408e-05,-1.0486021433576723e-05,0.00014943228359272202,2.23300073797357e-08,0.5223077845593028,1.2804808233507083,0.02266666666666667,1.6829973018930843e-05,-2.800647828063773e-06,0.00016291363838889003,0.0005925254691118617,-0.0005264953654434869,2.87852143514196e-08,0.089058354291766,4.684397033908151,2.8418589412782537e-08,0.08963857369976738,4.682543816921078,2.23300073797357e-08,0.08145539787364041,4.385827812759642,2.6511270381312612e-08,0.08671744195505793,4.5842562211962905,0.6323311445607547,0.2593836990374785,0.9991293829008538,0.44517114085409426,6.455206971683901e-09,2.960385524181452e-09,0,kshama_move_LR_straight_1.edf,kshama,move,LR,straight,1,1,11.787644215485242,0.0
8.46586043086046e-09,8.139706003307842e-09,9.78817343593636e-09,8.797913290034887e-09,7.127671639807067e-10,2.8133046442606834e-09,2.703820921509547e-09,1.9399695187816364e-09,2.485698361517289e-09,3.88468487552558e-10,5.326904194796085e-10,5.337693889501147e-10,3.332575709999348e-10,4.665724598098859e-10,9.426889104254495e-11,5.540312625632689e-10,5.547045289999828e-10,3.3987949286860536e-10,4.828717614772856e-10,1.011111763796546e-10,1.0714754599829637e-10,1.232211673493876e-10,6.325046481892364e-11,9.787305938886921e-11,2.534604988159801e-11,3.773178753974813e-12,4.057613120265747e-12,5.653615164270363e-12,4.494802346170308e-12,8.275913193223555e-13,1.194411706243668e-08,1.152551023428703e-08,1.2136926527569797e-08,1.18688512747645e-08,2.334717348361585,0.9384461549327172,0.7957887828351934,2.413841322516077,8.469677538482145e-06,0.00011157886058462825,1.2449842129363907e-08,-0.5970512593413924,-0.5647312163373965,0.032,9.391183175227335e-06,8.267798667589045e-06,0.00010962818488120575,1.2018338920347828e-08,-0.5705295085142409,-0.6203206157172789,0.032,9.065021561366711e-06,6.68124424631616e-06,0.00011014366050574257,1.2131625949604275e-08,-0.3815986102926945,0.07545621525155388,0.032,9.132198730712405e-06,7.80624015079578e-06,0.00011045621425182154,0.00032323726594714894,-0.00032323726594714894,1.2449842129363907e-08,0.11537334538269402,2.2033452338480384,1.2018338920347828e-08,0.11782787110778131,2.1753702324867503,1.2131625949604275e-08,0.09439577146569418,2.3458286762298273,1.2199935666438668e-08,0.10919899598538983,2.2415147141882055,0.8748137537566266,0.08745323664125335,0.9984908943495471,0.812698471306762,4.3150320901607904e-10,1.8266256304689246e-10,0,kshama_move_LR_straight_2.edf,kshama,move,LR,straight,2,1,31.208627702763035,0.0
9.709261956036512e-09,9.85635333536704e-09,8.250896577938455e-09,9.272170623114002e-09,7.246421990565451e-10,1.284769025196543e-09,1.3371435437448256e-09,1.062145241210626e-09,1.228019270050665e-09,1.1922364874752727e-10,1.6236007600993042e-10,1.650045582369575e-10,1.660851353564892e-10,1.6448325653445905e-10,1.5647861158674028e-12,2.0484549528037216e-10,2.1003771132242658e-10,2.048369930125867e-10,2.0657339987179516e-10,2.4496405780401686e-12,1.2419396694708123e-10,1.3397233466292267e-10,1.9123877521253062e-10,1.4980169227417815e-10,2.9571134581169715e-11,2.1540381644289455e-11,2.0193496008169205e-11,3.803462422079615e-11,2.658950062441827e-11,8.111582904771468e-12,1.1344610825104808e-08,1.1557700421105393e-08,9.747152211594998e-09,1.0883154485935068e-08,0.6665657011001834,1.1739707916621447,0.5365461853783515,0.8382436342775058,1.45303695391462e-05,0.00013136636399261925,1.725712158864133e-08,-0.6577199130732114,0.4963648558978102,0.02,1.3101189920689109e-05,1.4222698897508138e-05,0.00013190447236936513,1.7398789831040606e-08,-0.6772775674372361,0.5829836835139197,0.02,1.3200806246227338e-05,1.2825189804083901e-05,0.00012661880185032531,1.6032320982011942e-08,-0.3268160065800994,0.0959274572443869,0.017333333333333333,1.214760485664204e-05,1.3859419413579408e-05,0.00012998703035127962,0.00047132926180179524,-0.00047132926180179524,1.725712158864133e-08,0.09568388872259775,4.389160323115991,1.7398789831040606e-08,0.09588131045553284,4.359540796730723,1.6032320982011942e-08,0.10231232406002289,4.629613032818905,1.6896077467231294e-08,0.09795917441271783,4.45943805088854,0.8957681221438006,0.07360599292490903,0.9998075403722015,0.840813641707241,1.3664688490286635e-09,6.135002972262196e-10,1,kshama_move_LR_straight_3.edf,kshama,move,LR,straight,3,1,1.8549524878519925,0.0
6.445738182165353e-09,6.290323037315321e-09,5.316774707579011e-09,6.017611975686562e-09,4.996119321290143e-10,6.861454405566353e-10,7.661939986829327e-10,5.430248137464321e-10,6.651214176619999e-10,9.231333753512586e-11,1.531158630216369e-10,1.6038756592921537e-10,1.5974573154346667e-10,1.57749720164773e-10,3.2870921153229323e-12,1.7692811269579497e-10,1.8359102207426615e-10,1.847067896901787e-10,1.8174197482007996e-10,3.4342573924987886e-12,8.104117514612648e-11,8.409349772584049e-11,1.2507565410164096e-10,9.673677565786932e-11,2.007732040339393e-11,7.442480495211113e-12,7.469177939586843e-12,6.4957710466922866e-12,7.135809827163414e-12,4.5270698305804463e-13,7.397295391059124e-09,7.331670733737942e-09,6.1760777361639585e-09,6.968347953653674e-09,0.8089076099950733,0.9037434515326929,0.5598521075562577,0.9317315797376806,7.276911671631158e-07,0.00015978611395300928,2.5531602212204063e-08,-0.019189462766443406,0.3984069918483568,0.017333333333333333,1.9149098809979122e-05,6.260847715010489e-07,0.0001589990221054944,2.52806890305035e-08,-0.03201063421428658,0.36900550073806615,0.02,1.896081075948345e-05,-3.6477678056209133e-06,0.00014998563633076843,2.249569110554552e-08,-0.5450405827476168,0.6054739336352055,0.014666666666666666,1.688174798663193e-05,-7.646639556522497e-07,0.00015633346404603362,0.0005019114829543457,-0.0005019114829543457,2.5531602212204063e-08,0.07316239441505767,5.833127142081224,2.52806890305035e-08,0.0739484945200914,5.792295437163123,2.249569110554552e-08,0.0803648078451423,4.688296084992282,2.443599411608436e-08,0.07582523226009712,5.437906221412209,0.691916376092101,0.21764500342770293,0.9996962700822596,0.5352562455070303,3.035911106658544e-09,1.3758200429119461e-09,0,kshama_move_LR_upper_1.edf,kshama,move,LR,upper,1,1,69.77236050597237,0.0
1.0180313015890521e-08,1.0220502454721734e-08,9.574213214078103e-09,9.99167622823012e-09,2.956465501090302e-10,2.8858653684395547e-09,2.807273319188718e-09,1.3877630981321486e-09,2.360300595253474e-09,6.884359399061132e-10,2.9583116130262335e-10,2.832467977389933e-10,1.4024194492030374e-10,2.3977330132064013e-10,7.056656305334934e-11,3.687666830446435e-10,3.609893139210045e-10,1.8892841281861151e-10,3.0622813659475314e-10,8.30041796782575e-11,9.086685789404576e-11,9.267516565142981e-11,6.604215733760256e-11,8.319472696102605e-11,1.2151144740342955e-11,3.2161404723472846e-12,3.925278446527401e-12,4.944716796761411e-12,4.028711905212033e-12,7.094682927436395e-13,1.352902806574111e-08,1.3485365531929415e-08,1.1221891599163227e-08,1.2745428398944586e-08,1.2882084698845893,0.8004691478484379,0.5769676515574808,1.6478202445507912,-8.317674311783691e-07,0.00015371841954324236,2.3629352506872277e-08,-0.29066443821755733,-0.27530599774446873,0.02666666666666667,1.7722533257948884e-05,-1.289786411000963e-06,0.0001535335399013124,2.3572547874627888e-08,-0.2778573611994141,-0.26831420931014494,0.02666666666666667,1.7680658567710416e-05,-3.8261930812851184e-07,0.00014606056761731168,2.1333689412691275e-08,-0.4711385493718784,-0.383385241002808,0.016,1.600037685766967e-05,-8.347243834359511e-07,0.00015114672924389623,0.0004484285074726783,-0.0004484285074726783,2.3629352506872277e-08,0.08076636417372131,3.2481546527445286,2.3572547874627888e-08,0.0805088248443523,3.2501836288846637,2.1333689412691275e-08,0.06459715034867136,3.6215794216602712,2.2845196598063815e-08,0.07529077978891499,3.373305901096488,0.9364078582073286,0.04450429328409438,0.999329670946573,0.9036890598389142,2.2956630941810024e-09,1.0690485396325447e-09,0,kshama_move_LR_upper_2.edf,kshama,move,LR,upper,2,1,64.6471139366622,0.0
7.29183521272889e-09,7.51687555673408e-09,7.871361282129758e-09,7.560024017197577e-09,2.3854972718363825e-10,1.2115042571486784e-09,1.2125765545914251e-09,1.05744569884115e-09,1.1605088368604177e-09,7.287795857566917e-11,1.962880015002793e-10,1.9371050929831747e-10,2.546773168305049e-10,2.1489194254303388e-10,2.8152180163158632e-11,2.3190454355671094e-10,2.2937356003622606e-10,3.450114847993508e-10,2.687631961307626e-10,5.392558213601102e-11,3.081489965664478e-10,3.1998491730987114e-10,2.2822175711294705e-10,2.854518903297553e-10,4.0755272591174146e-11,1.123107792529623e-11,1.1714064695523694e-11,3.025473119890237e-11,1.7733291273240765e-11,8.856190392940526e-12,9.054624087926018e-09,9.290524653367128e-09,9.532294954082108e-09,9.292481231791751e-09,0.5726950379763552,2.4622631181624155,0.5839369117759193,0.7218289136854166,1.650254953499339e-06,0.00013189025558687996,1.739503951877252e-08,-0.33199886309152726,-0.026122243400232836,0.02666666666666667,1.304832214513805e-05,1.4764149203684018e-06,0.00013254755257341712,1.7568853693202774e-08,-0.3466913859491871,0.008956259483488882,0.02666666666666667,1.3178275120664896e-05,1.2898548528037824e-06,0.00012313724276332287,1.5162780555353513e-08,-0.21551918212446197,-0.34985339715317787,0.018666666666666668,1.137333321067111e-05,1.4721749088905047e-06,0.00012926296032817708,0.0004405018545918422,-0.0004405018545918422,1.739503951877252e-08,0.10641269427852439,3.242323169141343,1.7568853693202774e-08,0.1064600674496893,3.246483975899932,1.5162780555353513e-08,0.11488525072972622,3.792772910494162,1.670889125577627e-08,0.1092526708193133,3.4271933518451454,0.8660357380299422,0.09444283474671322,0.999591892975167,0.7981447096699303,2.4060731378492606e-09,1.09556577933642e-09,1,kshama_move_LR_upper_3.edf,kshama,move,LR,upper,3,1,16.14780314063586,0.0
7.336651237734856e-09,6.8656835822016765e-09,6.031674819468585e-09,6.744669879801706e-09,5.395826165869181e-10,2.7039231456372427e-09,2.8083789012199812e-09,1.293906526865457e-09,2.2687361912408937e-09,6.906264823227941e-10,7.658303746758143e-10,7.855039908899571e-10,3.525513961878829e-10,6.346285872512181e-10,1.996203381127473e-10,8.160454908448293e-10,8.329199757589595e-10,3.744405872086172e-10,6.744686846041353e-10,2.1226372194412652e-10,4.8374005958350845e-11,5.2131634906210306e-11,6.550872756350495e-11,5.533812280935536e-11,7.353495523730893e-12,6.8496081827014684e-12,6.0361457713130386e-12,6.033222722921965e-12,6.306325558978824e-12,3.8416068077667234e-13,1.091184348835798e-08,1.0565150239858142e-08,7.771563883829089e-09,9.74951920401507e-09,4.151637201312419,0.5207277650911217,0.8070302570364715,4.412426342528181,-2.857470608562303e-06,0.00017639969845942695,3.111685361657675e-08,-0.7003104778025937,-0.11948724435416702,0.025333333333333333,2.334376406614166e-05,-3.0319745994262293e-06,0.00017538721792796102,3.076067621251009e-08,-0.702944114851249,-0.12809655560456834,0.025333333333333333,2.3077401811861242e-05,-7.392272551705136e-06,0.00016959058912152536,2.8760967918586037e-08,-0.8388775966911498,0.6985354506104651,0.014666666666666666,2.1611710209048547e-05,-4.4272392532312185e-06,0.00017383104834597864,0.000656256240788318,-0.000656256240788318,3.111685361657675e-08,0.09156325018559122,5.399124778545477,3.076067621251009e-08,0.09212504845845097,5.310879786271976,2.8760967918586037e-08,0.09182529268369781,5.0535486097589555,3.021283258255763e-08,0.09183786377591334,5.254517724858803,0.7516615430294248,0.1751702705685122,0.9993894416585886,0.6274786624484027,2.355885697990715e-09,1.0368699171573765e-09,0,kshama_move_RL_lower_1.edf,kshama,move,RL,lower,1,0,9.485020940326354,0.0
