tmin,tmax,erd_score,mu_erd,beta_erd,sfreq,motor_channels,quality_score,direction,filename,subject,method,pattern,iteration,label,file_path,n_channels,duration,segment_path
3.25,6.25,-151.7935942133219,-172.17163097617487,-131.41555745046892,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,kshama_move_LR_lower_1.edf,kshama,move,lower,1,1,data\raw\kshama_move_LR_lower_1.edf,22,6.996,data\processed\kshama_move_LR_lower_1_segment.npy
2.75,5.75,15.635219370499989,69.48238920452569,-38.21195046352571,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,kshama_move_LR_lower_2.edf,kshama,move,lower,2,1,data\raw\kshama_move_LR_lower_2.edf,22,6.996,data\processed\kshama_move_LR_lower_2_segment.npy
3.75,6.75,85.69754515390866,92.93563847064246,78.45945183717485,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,kshama_move_LR_lower_3.edf,kshama,move,lower,3,1,data\raw\kshama_move_LR_lower_3.edf,22,6.996,data\processed\kshama_move_LR_lower_3_segment.npy
1.25,4.25,11.787644215485242,22.679521568674094,0.8957668622963896,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,kshama_move_LR_straight_1.edf,kshama,move,straight,1,1,data\raw\kshama_move_LR_straight_1.edf,22,6.996,data\processed\kshama_move_LR_straight_1_segment.npy
1.75,4.75,31.208627702763035,28.338583109697673,34.0786722958284,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,kshama_move_LR_straight_2.edf,kshama,move,straight,2,1,data\raw\kshama_move_LR_straight_2.edf,22,6.996,data\processed\kshama_move_LR_straight_2_segment.npy
3.5,6.5,1.8549524878519925,63.931495174563494,-60.22159019885951,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,kshama_move_LR_straight_3.edf,kshama,move,straight,3,1,data\raw\kshama_move_LR_straight_3.edf,22,6.996,data\processed\kshama_move_LR_straight_3_segment.npy
4.75,7.75,69.77236050597237,76.69310990266654,62.85161110927822,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,kshama_move_LR_upper_1.edf,kshama,move,upper,1,1,data\raw\kshama_move_LR_upper_1.edf,22,7.996,data\processed\kshama_move_LR_upper_1_segment.npy
4.5,7.5,64.6471139366622,65.53314495655106,63.761082916773326,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,kshama_move_LR_upper_2.edf,kshama,move,upper,2,1,data\raw\kshama_move_LR_upper_2.edf,22,7.996,data\processed\kshama_move_LR_upper_2_segment.npy
1.0,4.0,16.14780314063586,9.57049001054205,22.725116270729675,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,kshama_move_LR_upper_3.edf,kshama,move,upper,3,1,data\raw\kshama_move_LR_upper_3.edf,22,6.996,data\processed\kshama_move_LR_upper_3_segment.npy
5.25,8.25,9.485020940326354,-10.239250479433183,29.209292360085893,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,kshama_move_RL_lower_1.edf,kshama,move,lower,1,0,data\raw\kshama_move_RL_lower_1.edf,22,8.996,data\processed\kshama_move_RL_lower_1_segment.npy
2.25,5.25,65.57461281329479,59.11003909258128,72.03918653400831,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,kshama_move_RL_lower_2.edf,kshama,move,lower,2,0,data\raw\kshama_move_RL_lower_2.edf,22,6.996,data\processed\kshama_move_RL_lower_2_segment.npy
3.5,6.5,81.75104290494176,81.96866010282251,81.53342570706099,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,kshama_move_RL_lower_3.edf,kshama,move,lower,3,0,data\raw\kshama_move_RL_lower_3.edf,22,6.996,data\processed\kshama_move_RL_lower_3_segment.npy
2.75,5.75,-18.557935561566005,-26.598409103578646,-10.517462019553367,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,kshama_move_RL_straight_1.edf,kshama,move,straight,1,0,data\raw\kshama_move_RL_straight_1.edf,22,5.996,data\processed\kshama_move_RL_straight_1_segment.npy
2.75,5.75,25.103152798281766,23.28564968598529,26.92065591057824,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,kshama_move_RL_straight_2.edf,kshama,move,straight,2,0,data\raw\kshama_move_RL_straight_2.edf,22,5.996,data\processed\kshama_move_RL_straight_2_segment.npy
0.5,3.5,61.439349053045675,70.95920767257667,51.91949043351468,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,kshama_move_RL_straight_3.edf,kshama,move,straight,3,0,data\raw\kshama_move_RL_straight_3.edf,22,4.996,data\processed\kshama_move_RL_straight_3_segment.npy
2.5,5.5,64.04339579227091,81.296720584353,46.79007100018883,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,kshama_move_RL_upper_1.edf,kshama,move,upper,1,0,data\raw\kshama_move_RL_upper_1.edf,22,6.996,data\processed\kshama_move_RL_upper_1_segment.npy
3.5,6.5,49.16994557114696,56.36711090884579,41.972780233448134,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,kshama_move_RL_upper_2.edf,kshama,move,upper,2,0,data\raw\kshama_move_RL_upper_2.edf,22,7.996,data\processed\kshama_move_RL_upper_2_segment.npy
2.5,5.5,39.55696156426838,74.66687078309279,4.447052345443961,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,kshama_move_RL_upper_3.edf,kshama,move,upper,3,0,data\raw\kshama_move_RL_upper_3.edf,22,6.996,data\processed\kshama_move_RL_upper_3_segment.npy
3.5,6.5,47.60816988681073,51.29032827916964,43.926011494451814,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,kshama_watch_LR_lower_1.edf,kshama,watch,lower,1,1,data\raw\kshama_watch_LR_lower_1.edf,22,7.996,data\processed\kshama_watch_LR_lower_1_segment.npy
0.75,3.75,-22.246200885066088,-12.859196367749778,-31.6332054023824,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,kshama_watch_LR_lower_2.edf,kshama,watch,lower,2,1,data\raw\kshama_watch_LR_lower_2.edf,22,7.996,data\processed\kshama_watch_LR_lower_2_segment.npy
0.75,3.75,2.047200823539312,8.739808618360644,-4.6454069712820205,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,kshama_watch_LR_lower_3.edf,kshama,watch,lower,3,1,data\raw\kshama_watch_LR_lower_3.edf,22,7.996,data\processed\kshama_watch_LR_lower_3_segment.npy
1.0,4.0,-69.49256766248622,-129.56652908859837,-9.418606236374071,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,kshama_watch_LR_straight_1.edf,kshama,watch,straight,1,1,data\raw\kshama_watch_LR_straight_1.edf,22,4.996,data\processed\kshama_watch_LR_straight_1_segment.npy
1.75,4.75,-23.531040014371285,19.775692256181653,-66.83777228492423,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,kshama_watch_LR_straight_2.edf,kshama,watch,straight,2,1,data\raw\kshama_watch_LR_straight_2.edf,22,4.996,data\processed\kshama_watch_LR_straight_2_segment.npy
2.25,5.25,-25.730021879147777,-34.10274844258507,-17.357295315710488,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,kshama_watch_LR_straight_3.edf,kshama,watch,straight,3,1,data\raw\kshama_watch_LR_straight_3.edf,22,5.996,data\processed\kshama_watch_LR_straight_3_segment.npy
3.25,6.25,-5.59140961688621,37.80062054158143,-48.98343977535385,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,kshama_watch_LR_upper_1.edf,kshama,watch,upper,1,1,data\raw\kshama_watch_LR_upper_1.edf,22,7.996,data\processed\kshama_watch_LR_upper_1_segment.npy
1.75,4.75,-3.8339883220058546,37.181475753626906,-44.849452397638615,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,kshama_watch_LR_upper_2.edf,kshama,watch,upper,2,1,data\raw\kshama_watch_LR_upper_2.edf,22,7.996,data\processed\kshama_watch_LR_upper_2_segment.npy
1.25,4.25,-70.97593626881769,-56.36836740918656,-85.5835051284488,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,kshama_watch_LR_upper_3.edf,kshama,watch,upper,3,1,data\raw\kshama_watch_LR_upper_3.edf,22,6.996,data\processed\kshama_watch_LR_upper_3_segment.npy
1.25,4.25,59.47788641006855,49.61185810907074,69.34391471106636,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,kshama_watch_RL_lower_1.edf,kshama,watch,lower,1,0,data\raw\kshama_watch_RL_lower_1.edf,22,6.996,data\processed\kshama_watch_RL_lower_1_segment.npy
3.5,6.5,11.538206646542472,-10.239151801397465,33.31556509448241,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,kshama_watch_RL_lower_2.edf,kshama,watch,lower,2,0,data\raw\kshama_watch_RL_lower_2.edf,22,6.996,data\processed\kshama_watch_RL_lower_2_segment.npy
0.75,3.75,32.39161968303155,45.89899431554797,18.88424505051513,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,kshama_watch_RL_lower_3.edf,kshama,watch,lower,3,0,data\raw\kshama_watch_RL_lower_3.edf,22,7.996,data\processed\kshama_watch_RL_lower_3_segment.npy
2.75,5.75,22.10670991015398,66.02926403015785,-21.81584420984988,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,kshama_watch_RL_straight_1.edf,kshama,watch,straight,1,0,data\raw\kshama_watch_RL_straight_1.edf,22,5.996,data\processed\kshama_watch_RL_straight_1_segment.npy
1.75,4.75,17.356224773080015,37.71255848917535,-3.000108943015322,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,kshama_watch_RL_straight_2.edf,kshama,watch,straight,2,0,data\raw\kshama_watch_RL_straight_2.edf,22,4.996,data\processed\kshama_watch_RL_straight_2_segment.npy
1.5,4.5,-100.74905154514926,-162.84396803518732,-38.654135055111205,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,kshama_watch_RL_straight_3.edf,kshama,watch,straight,3,0,data\raw\kshama_watch_RL_straight_3.edf,22,4.996,data\processed\kshama_watch_RL_straight_3_segment.npy
0.5,3.5,43.45680265762105,64.61603342990337,22.29757188533873,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,kshama_watch_RL_upper_1.edf,kshama,watch,upper,1,0,data\raw\kshama_watch_RL_upper_1.edf,22,5.996,data\processed\kshama_watch_RL_upper_1_segment.npy
0.5,3.5,43.218690592302764,73.18598906631972,13.251392118285802,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,kshama_watch_RL_upper_2.edf,kshama,watch,upper,2,0,data\raw\kshama_watch_RL_upper_2.edf,22,5.996,data\processed\kshama_watch_RL_upper_2_segment.npy
1.75,4.75,38.5613198934641,25.63680129992263,51.485838487005566,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,kshama_watch_RL_upper_3.edf,kshama,watch,upper,3,0,data\raw\kshama_watch_RL_upper_3.edf,22,4.996,data\processed\kshama_watch_RL_upper_3_segment.npy
3.75,6.75,20.506092630170322,35.61871799838925,5.393467261951392,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,pradeep_move_LR_lower_1.edf,pradeep,move,lower,1,1,data\raw\pradeep_move_LR_lower_1.edf,22,6.996,data\processed\pradeep_move_LR_lower_1_segment.npy
1.75,4.75,11.095113786131014,31.40980449054018,-9.21957691827815,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,pradeep_move_LR_lower_2.edf,pradeep,move,lower,2,1,data\raw\pradeep_move_LR_lower_2.edf,22,7.996,data\processed\pradeep_move_LR_lower_2_segment.npy
1.0,4.0,42.852201533827895,74.89384097036654,10.810562097289248,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,pradeep_move_LR_straight_1.edf,pradeep,move,straight,1,1,data\raw\pradeep_move_LR_straight_1.edf,22,5.996,data\processed\pradeep_move_LR_straight_1_segment.npy
3.25,6.25,-4.208577066727878,-2.240496426220668,-6.176657707235089,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,pradeep_move_LR_straight_2.edf,pradeep,move,straight,2,1,data\raw\pradeep_move_LR_straight_2.edf,22,6.996,data\processed\pradeep_move_LR_straight_2_segment.npy
4.75,7.75,1.9216304620806555,-5.142582721300626,8.985843645461937,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,pradeep_move_LR_upper_1.edf,pradeep,move,upper,1,1,data\raw\pradeep_move_LR_upper_1.edf,22,7.996,data\processed\pradeep_move_LR_upper_1_segment.npy
4.75,7.75,-4.620627841422636,-11.534995105862846,2.293739423017573,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,LR,pradeep_move_LR_upper_2.edf,pradeep,move,upper,2,1,data\raw\pradeep_move_LR_upper_2.edf,22,7.996,data\processed\pradeep_move_LR_upper_2_segment.npy
3.5,6.5,-71.02135339569611,-77.65026269391865,-64.39244409747359,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,pradeep_move_RL_lower_1.edf,pradeep,move,lower,1,0,data\raw\pradeep_move_RL_lower_1.edf,22,8.996,data\processed\pradeep_move_RL_lower_1_segment.npy
4.75,7.75,-2.7088651895138787,-9.741079406941386,4.323349027913629,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,pradeep_move_RL_lower_2.edf,pradeep,move,lower,2,0,data\raw\pradeep_move_RL_lower_2.edf,22,7.996,data\processed\pradeep_move_RL_lower_2_segment.npy
0.75,3.75,-38.88496418735289,-69.05954870250234,-8.710379672203441,250.0,"['EEG Fp1-Ref', 'EEG Fp2-Ref', 'EEG F7-Ref']",0.0,RL,pradeep_move_RL_straight_1.edf,pradeep,move,straight,1,0,data\raw\pradeep_move_RL_straight_1.edf,22,5.996,data\processed\pradeep_move_RL_straight_1_segment.npy
